CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
108.0,5.0,5.0,-0.9114,60.0,106,0.0,0.0,0.0
110.0,6.0,5.0,-0.9114,50.0,64,0.0,0.0,0.0
114.0,7.0,4.0,-0.9114,30.0,73,0.0,0.0,0.0
112.0,8.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
118.0,9.0,4.0,-0.9114,10.0,109,0.0,0.0,0.0
116.0,10.0,5.0,-0.9114,30.0,109,0.0,0.0,0.0
116.0,11.0,4.0,-0.9114,50.0,73,0.0,0.0,0.0
118.0,12.0,5.0,-0.9114,30.0,88,0.0,0.0,0.0
117.0,13.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
118.0,14.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
119.0,15.0,5.0,-0.9114,50.0,94,0.0,0.0,0.0
103.0,0.0,5.0,-0.9114,60.0,73,0.0,0.0,0.0
108.0,1.0,5.0,-0.9114,20.0,100,0.0,0.0,0.0
108.0,2.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
106.0,3.0,5.0,-0.9114,60.0,85,0.0,0.0,0.0
110.0,4.0,5.0,-0.9114,30.0,124,0.0,0.0,0.0
113.0,5.0,4.0,-0.9114,20.0,82,0.0,0.0,0.0
113.0,6.0,5.0,-0.9114,20.0,106,0.0,0.0,0.0
111.0,7.0,5.0,-0.9114,50.0,97,0.0,0.0,0.0
111.0,8.0,5.0,-0.9114,60.0,88,0.0,0.0,0.0
113.0,9.0,5.0,-0.9114,50.0,100,0.0,0.0,0.0
114.0,10.0,5.0,-0.9114,50.0,55,0.0,0.0,0.0
119.0,11.0,4.0,-0.9114,20.0,70,0.0,0.0,0.0
118.0,12.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
116.0,13.0,5.0,-0.9114,60.0,82,0.0,0.0,0.0
119.0,14.0,4.0,-0.9114,50.0,112,0.0,0.0,0.0
120.0,15.0,5.0,-0.9114,40.0,73,0.0,0.0,0.0
106.0,0.0,5.0,-0.9114,30.0,94,0.0,0.0,0.0
108.0,1.0,5.0,-0.9114,20.0,97,0.0,0.0,0.0
110.0,2.0,4.0,-0.9114,20.0,88,0.0,0.0,0.0
110.0,3.0,5.0,-0.9114,20.0,106,0.0,0.0,0.0
108.0,4.0,5.0,-0.9114,50.0,67,0.0,0.0,0.0
111.0,5.0,5.0,-0.9114,30.0,70,0.0,0.0,0.0
112.0,6.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
114.0,7.0,5.0,-0.9114,20.0,94,0.0,0.0,0.0
115.0,8.0,5.0,-0.9114,20.0,109,0.0,0.0,0.0
115.0,9.0,5.0,-0.9114,30.0,55,0.0,0.0,0.0
117.0,10.0,4.0,-0.9114,30.0,58,0.0,0.0,0.0
117.0,11.0,4.0,-0.9114,40.0,82,0.0,0.0,0.0
119.0,12.0,5.0,-0.9114,20.0,82,0.0,0.0,0.0
117.0,13.0,5.0,-0.9114,50.0,127,0.0,0.0,0.0
121.0,14.0,4.0,-0.9114,30.0,73,0.0,0.0,0.0
122.0,15.0,5.0,-0.9114,20.0,91,0.0,0.0,0.0
106.0,0.0,4.0,-0.9114,40.0,76,0.0,0.0,0.0
108.0,1.0,5.0,-0.9114,20.0,88,0.0,0.0,0.0
108.0,2.0,5.0,-0.9114,30.0,118,0.0,0.0,0.0
108.0,3.0,5.0,-0.9114,40.0,85,0.0,0.0,0.0
108.0,4.0,5.0,-0.9114,50.0,94,0.0,0.0,0.0
111.0,5.0,4.0,-0.9114,40.0,82,0.0,0.0,0.0
112.0,6.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
113.0,7.0,5.0,-0.9114,30.0,115,0.0,0.0,0.0
112.0,8.0,5.0,-0.9114,50.0,73,0.0,0.0,0.0
115.0,9.0,4.0,-0.9114,40.0,103,0.0,0.0,0.0
115.0,10.0,5.0,-0.9114,40.0,85,0.0,0.0,0.0
116.0,11.0,4.0,-0.9114,50.0,91,0.0,0.0,0.0
119.0,12.0,5.0,-0.9114,20.0,85,0.0,0.0,0.0
116.0,13.0,5.0,-0.9114,60.0,79,0.0,0.0,0.0
121.0,14.0,5.0,-0.9114,20.0,91,0.0,0.0,0.0
119.0,15.0,5.0,-0.9114,50.0,94,0.0,0.0,0.0
104.0,0.0,5.0,-0.9114,50.0,85,0.0,0.0,0.0
105.0,1.0,5.0,-0.9114,50.0,88,0.0,0.0,0.0
106.0,2.0,5.0,-0.9114,50.0,73,0.0,0.0,0.0
108.0,3.0,5.0,-0.9114,40.0,70,0.0,0.0,0.0
110.0,4.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
110.0,5.0,4.0,-0.9114,50.0,106,0.0,0.0,0.0
111.0,6.0,5.0,-0.9114,40.0,85,0.0,0.0,0.0
110.0,7.0,5.0,-0.9114,60.0,70,0.0,0.0,0.0
115.0,8.0,5.0,-0.9114,20.0,97,0.0,0.0,0.0
112.0,9.0,5.0,-0.9114,60.0,85,0.0,0.0,0.0
116.0,10.0,5.0,-0.9114,30.0,85,0.0,0.0,0.0
115.0,11.0,5.0,-0.9114,50.0,127,0.0,0.0,0.0
120.0,12.0,5.0,-0.9114,10.0,76,0.0,0.0,0.0
119.0,13.0,5.0,-0.9114,30.0,94,0.0,0.0,0.0
121.0,14.0,4.0,-0.9114,30.0,67,0.0,0.0,0.0
122.0,15.0,5.0,-0.9114,20.0,85,0.0,0.0,0.0
107.0,0.0,5.0,-0.9114,20.0,109,0.0,1.0,0.0
108.0,1.0,5.0,-0.9114,20.0,64,0.0,0.0,0.0
108.0,2.0,5.0,-0.9114,30.0,91,0.0,0.0,0.0
109.0,3.0,5.0,-0.9114,30.0,79,0.0,0.0,0.0
108.0,4.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
111.0,5.0,5.0,-0.9114,30.0,85,0.0,0.0,0.0
112.0,6.0,5.0,-0.9114,30.0,70,0.0,0.0,0.0
113.0,7.0,5.0,-0.9114,30.0,109,0.0,0.0,0.0
112.0,8.0,5.0,-0.9114,50.0,106,0.0,0.0,0.0
116.0,9.0,4.0,-0.9114,30.0,82,0.0,0.0,0.0
116.0,10.0,5.0,-0.9114,30.0,106,0.0,0.0,0.0
115.0,11.0,5.0,-0.9114,50.0,79,0.0,0.0,0.0
119.0,12.0,4.0,-0.9114,30.0,61,0.0,0.0,0.0
118.0,13.0,4.0,-0.9114,50.0,97,0.0,0.0,0.0
121.0,14.0,4.0,-0.9114,30.0,85,0.0,0.0,0.0
120.0,15.0,5.0,-0.9114,40.0,106,0.0,0.0,0.0
107.0,0.0,4.0,-0.9114,30.0,70,0.0,1.0,0.0
104.0,1.0,5.0,-0.9114,60.0,94,0.0,0.0,0.0
106.0,2.0,4.0,-0.9114,60.0,70,0.0,0.0,0.0
107.0,3.0,5.0,-0.9114,50.0,106,0.0,1.0,0.0
109.0,4.0,5.0,-0.9114,40.0,97,0.0,0.0,0.0
109.0,5.0,4.0,-0.9114,60.0,70,0.0,0.0,0.0
110.0,6.0,5.0,-0.9114,50.0,58,0.0,0.0,0.0
113.0,7.0,4.0,-0.9114,40.0,85,0.0,0.0,0.0
111.0,8.0,5.0,-0.9114,60.0,82,0.0,0.0,0.0
115.0,9.0,4.0,-0.9114,40.0,124,0.0,0.0,0.0
113.0,10.0,5.0,-0.9114,60.0,73,0.0,0.0,0.0
117.0,11.0,5.0,-0.9114,30.0,85,0.0,0.0,0.0
117.0,12.0,4.0,-0.9114,50.0,91,0.0,0.0,0.0
119.0,13.0,5.0,-0.9114,30.0,91,0.0,0.0,0.0
121.0,14.0,4.0,-0.9114,30.0,106,0.0,0.0,0.0
121.0,15.0,5.0,-0.9114,30.0,64,0.0,0.0,0.0
107.0,0.0,5.0,-0.9114,20.0,64,0.0,1.0,0.0
105.0,1.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
107.0,2.0,5.0,-0.9114,40.0,82,0.0,1.0,0.0
109.0,3.0,5.0,-0.9114,30.0,112,0.0,0.0,0.0
111.0,4.0,4.0,-0.9114,30.0,55,0.0,0.0,0.0
110.0,5.0,4.0,-0.9114,50.0,103,0.0,0.0,0.0
109.0,6.0,5.0,-0.9114,60.0,85,0.0,0.0,0.0
111.0,7.0,5.0,-0.9114,50.0,79,0.0,0.0,0.0
112.0,8.0,5.0,-0.9114,50.0,94,0.0,0.0,0.0
114.0,9.0,4.0,-0.9114,50.0,79,0.0,0.0,0.0
117.0,10.0,5.0,-0.9114,20.0,61,0.0,0.0,0.0
117.0,11.0,5.0,-0.9114,30.0,94,0.0,0.0,0.0
116.0,12.0,5.0,-0.9114,50.0,91,0.0,0.0,0.0
119.0,13.0,5.0,-0.9114,30.0,106,0.0,0.0,0.0
118.0,14.0,4.0,-0.9114,60.0,73,0.0,0.0,0.0
118.0,15.0,5.0,-0.9114,60.0,91,0.0,0.0,0.0
106.0,0.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
104.0,1.0,5.0,-0.9114,60.0,115,0.0,0.0,0.0
110.0,2.0,4.0,-0.9114,20.0,109,0.0,0.0,0.0
106.0,3.0,5.0,-0.9114,60.0,55,0.0,0.0,0.0
111.0,4.0,5.0,-0.9114,20.0,58,0.0,0.0,0.0
113.0,5.0,4.0,-0.9114,20.0,82,0.0,0.0,0.0
110.0,6.0,5.0,-0.9114,50.0,79,0.0,0.0,0.0
114.0,7.0,4.0,-0.9114,30.0,121,0.0,0.0,0.0
111.0,8.0,5.0,-0.9114,60.0,73,0.0,0.0,0.0
115.0,9.0,4.0,-0.9114,40.0,97,0.0,0.0,0.0
114.0,10.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
118.0,11.0,5.0,-0.9114,20.0,67,0.0,0.0,0.0
120.0,12.0,4.0,-0.9114,20.0,88,0.0,0.0,0.0
119.0,13.0,5.0,-0.9114,30.0,85,0.0,0.0,0.0
122.0,14.0,4.0,-0.9114,20.0,91,0.0,0.0,0.0
118.0,15.0,5.0,-0.9114,60.0,76,0.0,0.0,0.0
105.0,0.0,5.0,-0.9114,40.0,79,0.0,0.0,0.0
106.0,1.0,4.0,-0.9114,50.0,82,0.0,0.0,0.0
110.0,2.0,4.0,-0.9114,20.0,67,0.0,0.0,0.0
106.0,3.0,5.0,-0.9114,60.0,118,0.0,0.0,0.0
109.0,4.0,5.0,-0.9114,40.0,85,0.0,0.0,0.0
110.0,5.0,4.0,-0.9114,50.0,85,0.0,0.0,0.0
110.0,6.0,5.0,-0.9114,50.0,109,0.0,0.0,0.0
112.0,7.0,4.0,-0.9114,50.0,73,0.0,0.0,0.0
112.0,8.0,5.0,-0.9114,50.0,94,0.0,0.0,0.0
113.0,9.0,5.0,-0.9114,50.0,88,0.0,0.0,0.0
118.0,10.0,4.0,-0.9114,20.0,82,0.0,0.0,0.0
115.0,11.0,5.0,-0.9114,50.0,88,0.0,0.0,0.0
115.0,12.0,5.0,-0.9114,60.0,64,0.0,0.0,0.0
120.0,13.0,5.0,-0.9114,20.0,94,0.0,0.0,0.0
119.0,14.0,4.0,-0.9114,50.0,82,0.0,0.0,0.0
119.0,15.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
106.0,0.0,5.0,-0.9114,30.0,106,0.0,0.0,0.0
108.0,1.0,5.0,-0.9114,20.0,76,0.0,0.0,0.0
108.0,2.0,4.0,-0.9114,40.0,58,0.0,0.0,0.0
107.0,3.0,4.0,-0.9114,60.0,79,0.0,1.0,0.0
110.0,4.0,5.0,-0.9114,30.0,79,0.0,0.0,0.0
113.0,5.0,4.0,-0.9114,20.0,97,0.0,0.0,0.0
109.0,6.0,5.0,-0.9114,60.0,70,0.0,0.0,0.0
114.0,7.0,4.0,-0.9114,30.0,85,0.0,0.0,0.0
115.0,8.0,5.0,-0.9114,20.0,91,0.0,0.0,0.0
115.0,9.0,5.0,-0.9114,30.0,85,0.0,0.0,0.0
116.0,10.0,5.0,-0.9114,30.0,91,0.0,0.0,0.0
117.0,11.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
119.0,12.0,4.0,-0.9114,30.0,100,0.0,0.0,0.0
114.0,13.0,5.0,-0.9114,80.0,100,0.0,0.0,0.0
119.0,14.0,4.0,-0.9114,50.0,85,0.0,0.0,0.0
122.0,15.0,4.0,-0.9114,30.0,118,0.0,0.0,0.0
107.0,0.0,5.0,-0.9114,20.0,55,0.0,1.0,0.0
107.0,1.0,5.0,-0.9114,30.0,76,0.0,1.0,0.0
106.0,2.0,5.0,-0.9114,50.0,82,0.0,0.0,0.0
111.0,3.0,4.0,-0.9114,20.0,85,0.0,0.0,0.0
111.0,4.0,4.0,-0.9114,30.0,85,0.0,0.0,0.0
113.0,5.0,4.0,-0.9114,20.0,70,0.0,0.0,0.0
110.0,6.0,5.0,-0.9114,50.0,85,0.0,0.0,0.0
110.0,7.0,5.0,-0.9114,60.0,94,0.0,0.0,0.0
115.0,8.0,5.0,-0.9114,20.0,67,0.0,0.0,0.0
115.0,9.0,5.0,-0.9114,30.0,82,0.0,0.0,0.0
116.0,10.0,4.0,-0.9114,40.0,73,0.0,0.0,0.0
